Company Name,Industry,Symbol,Series,ISIN Code,data_source,download_timestamp,index_name
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,niftyindices.com,2025-08-14 21:02:39.754,NIFTY 50
